gene,pcc,ssim,rmse,js
Principal Cells,0.6632371312099021,0.5772522649315606,0.8206861382892953,0.2388695340520618
Proximal Tubule,0.7435040977248242,0.7260942153194342,0.7162344619957569,0.08440448770689893
Thick Ascending Limb,0.8019552530099524,0.7685853799167365,0.62935641252004,0.09045747510107281
Distal Convoluted Tubule,0.8320697254479743,0.7860697715766485,0.5795347695385079,0.07234044347302476
Intercalated Cells Type A,0.8370115442950518,0.8239084030456661,0.5709438776358815,0.10337806171625709
Intercalated Cells Type B,0.8053970721416795,0.7596403238422524,0.6238636515430597,0.19490860644263588
Connecting Tubule,0.7606575496328006,0.758826295697265,0.6918705809140887,0.14119109573365746
Endothelial Cell,0.7586537517680225,0.7129793830786959,0.6947607476419163,0.15971481954569738
Mesangial Cells,0.48729349562685764,0.5019800078001541,1.012626786504428,0.40043722343193816
Leukocyte,0.11472294807843401,0.09276147734625204,1.3306216982460235,0.6246646563688949
