gene,pcc,ssim,rmse,js
Principal Cells,0.6422581700564217,0.4961980133465709,0.8458626720024693,0.2406116715587726
Proximal Tubule,0.7940405987100783,0.7535678985809188,0.6418090078674833,0.05118202528867278
Thick Ascending Limb,0.783391694049239,0.7729468815894335,0.6581919263417939,0.07313591933245633
Distal Convoluted Tubule,0.8280144445782134,0.7563711596182656,0.5864905036260804,0.07322045831286554
Intercalated Cells Type A,0.8898279460846567,0.8858008762853885,0.4694082528361494,0.06843844943939237
Intercalated Cells Type B,0.9042789676623644,0.8981552268236607,0.43754092914294473,0.08363852432877653
Connecting Tubule,0.703328904127482,0.5149928364947576,0.7702870839791071,0.1545040996015388
Endothelial Cell,0.8784443179845846,0.8752652739438078,0.49306324546738556,0.08192150968915754
Mesangial Cells,0.8111862475706673,0.7724823109729786,0.6145140395944306,0.17008164567167988
Leukocyte,0.43709843976320034,0.4485469677814892,1.0610386988576805,0.546360496127635
