gene,pcc,ssim,rmse,js
Principal Cells,0.6044233222303254,0.4581389032718579,0.8894680182779758,0.2960136691129682
Proximal Tubule,0.7764448782328502,0.7605509790109879,0.6686630268934418,0.07145842077990217
Thick Ascending Limb,0.764681092574709,0.7339117786887117,0.6860304766193567,0.08542264527524791
Distal Convoluted Tubule,0.7475090890635782,0.7022673653408797,0.7106207299768587,0.13071067389167768
Intercalated Cells Type A,0.8822656488827211,0.8054086572145461,0.48525117437730986,0.07059510809512132
Intercalated Cells Type B,0.7724726748344767,0.7562201315761856,0.6745773864658128,0.1783596820906866
Connecting Tubule,0.7155330634706236,0.6798407670445921,0.7542770532495022,0.18237153320002378
Endothelial Cell,0.8979942697299713,0.7564374710090741,0.45167627847835595,0.05730772528762027
Mesangial Cells,0.8278722819579226,0.5592230354459806,0.5867328489901982,0.1862769671922294
Leukocyte,0.8347700856743345,0.5910365031017532,0.5748563547977279,0.14130256683820155
