gene,pcc,ssim,rmse,js
Astro,0.6714861858330469,0.41633713538413863,0.8105724078291252,0.1882556499723596
Endo,0.5035442048829365,0.35718467076878946,0.9964494920637609,0.2130961657350253
Excitatory L2/3,0.7882723401243809,0.7043107926435297,0.6507344464151551,0.16927560260156727
Excitatory L4,0.8054539567288727,0.5330488546067085,0.6237724637576227,0.25327415132935494
Excitatory L5,0.5140064206797168,0.2338136033496025,0.9858940909857236,0.28520658081714284
Excitatory L6,0.7835299425721964,0.5154428632208716,0.657981849943908,0.215732792353383
Neuron Other,-0.043954969606739246,-0.0015424184442289863,1.444960186030563,0.6502285921405033
Micro,-0.005394093608016246,0.007033431029429954,1.4180226328292622,0.5390288200042777
Inhibitory Other,0.5369502745561637,0.04786339266233147,0.9623406106403658,0.5438527147223935
Olig,0.9153835564417976,0.8542782996243004,0.41137924973970785,0.12306379574466425
Other,-0.04340631336409156,-0.0012701606072842363,1.4445804327652314,0.49179219054554774
Inhibitory Pvalb,0.618287313684456,0.25078771314381393,0.873742165991254,0.3614539360824932
Smc,-0.16115250787678587,-0.007459396440306978,1.5239110918139456,0.6780695760820674
Inhibitory Sst,0.4746006223006242,0.1529073794226292,1.0250847552269773,0.4025025203735735
Inhibitory Vip,0.4964239053311399,0.10095482991998642,1.003569723206973,0.5208553461715204
