,Excitatory L6,Excitatory L5,Inhibitory Sst,Inhibitory Vip,Excitatory L4,Inhibitory Pvalb,Inhibitory Other,Excitatory L2/3,Astro,Other,Endo,Olig,Smc,Neuron Other,Micro
0,0.047793604,0.09628902,0.115752876,0.077430695,0.07213468,0.08475818,0.15414685,0.08356491,0.14113171,0.032039575,0.04793896,0.00070052396,0.017985702,0.026655663,0.0016770464
1,0.04544187,0.047758467,0.09159863,0.07656022,0.06563503,0.06263322,0.10107225,0.0018425002,0.12276813,0.017417941,0.082800895,0.1413815,0.13290277,6.943935e-05,0.010117144
2,0.040506165,0.02299473,0.024558485,0.034217518,0.02122072,0.052050233,0.100519784,0.0017548676,0.035587408,0.1013621,0.023469254,0.2801041,0.07941469,0.16094953,0.021290438
3,0.0364131,0.013249941,0.049576353,0.044241413,0.035116065,0.064957105,0.047443982,0.04439334,0.0864894,0.07229514,0.049815398,0.25274014,0.05194336,0.14598194,0.005343291
4,0.113492556,0.044175114,0.105726235,0.0643769,0.042679507,0.0074749077,0.06392831,0.015964745,0.043602075,0.041018024,0.111655876,0.11043414,0.06894059,0.16627148,0.00025944112
5,0.20983052,0.056850925,0.0446325,0.07674771,0.04049149,0.092843376,0.038410015,0.0001536533,0.07579598,0.052786145,0.029342568,0.012293348,0.13026111,0.0009699457,0.13859072
6,0.21549197,0.020750972,0.118896194,0.0663134,0.062022906,0.054498494,0.084211715,0.020109735,0.06265042,0.058721088,0.040398136,0.06429319,0.06988298,9.0541675e-05,0.061668225
7,0.09802642,0.14122072,0.058340218,0.1155085,0.023672873,0.04803836,0.070717074,0.0011193986,0.06879221,0.13200617,0.10646025,0.052502293,0.038569033,0.03703138,0.007994935
8,0.09020647,0.16741408,0.06130363,0.047435064,0.0055910763,0.11025623,0.12478198,0.017920122,0.071682826,0.071418494,0.0048635523,0.094516605,0.09312854,0.031106848,0.00837442
9,0.04443985,0.25667384,0.08153227,0.06526038,0.0018654431,0.04625787,0.06307964,0.0016252032,0.08872246,0.16408034,2.5850684e-05,0.07348647,0.019408226,0.00046762225,0.093074426
10,0.047014114,0.19931163,0.046984576,0.11280039,0.066404566,0.08602127,0.06309211,0.00083589845,0.05067527,0.06132906,0.045114107,0.0053981137,0.059079945,0.12927635,0.026662549
11,0.040207103,0.055074804,0.08079091,0.060280133,0.13877344,0.037240952,0.028530648,0.023468949,0.046385534,0.09138121,0.10333674,0.0008715513,0.08479116,0.10656458,0.102302276
12,0.031887148,0.07487074,0.017164467,0.08338419,0.23196092,0.06668637,0.0507518,0.029705135,0.055857997,0.043654382,0.004249527,0.019550951,0.075516745,0.18423603,0.030523641
13,0.10210191,0.052935816,0.04265055,0.11357813,0.16860783,0.0957391,0.0037642526,0.07301079,0.051113028,0.02331393,0.040726878,0.022021815,0.07219671,0.04052616,0.097713135
14,0.039833017,0.015084141,0.15152983,0.022956947,0.073815286,0.0117008425,0.06944409,0.18977143,0.030666161,0.10841686,0.075817056,0.00072194095,0.101973675,0.000703849,0.1075648
15,0.03765043,0.0276223,0.059453525,0.049851105,0.049068898,0.06413672,0.02501986,0.23623638,0.048416246,0.06529936,0.108700365,0.017569292,0.08218358,0.06306898,0.065722965
16,0.072056435,0.035432395,0.042316526,0.034404006,0.07104957,0.055721566,0.08455109,0.14830282,0.08197208,0.05909158,0.08700024,0.00013913111,0.06840006,0.14785111,0.0117114065
17,0.05897323,0.046728585,0.06144609,0.10664496,0.0034365538,0.0068367943,0.07656112,0.1656164,0.046410564,0.03127306,0.06767486,6.35772e-05,0.10784752,0.08352556,0.13696112
18,0.042026877,0.017581956,0.06717048,0.055439975,0.05759229,0.10198153,0.00338368,0.0026397328,0.07703344,0.075881615,0.038785838,0.008050773,0.040639088,0.012225576,0.39956713
