,Proximal Tubule,Principal Cells,Thick Ascending Limb,Intercalated Cells Type A,Endothelial Cell,Distal Convoluted Tubule,Connecting Tubule,Mesangial Cells,Intercalated Cells Type B,Leukocyte
0,0.1165818,0.2233562,0.2221149,0.18811208,0.14700371,0.071104184,0.0072133294,0.023275422,0.0008362415,0.00040215155
1,0.16127156,0.12671016,0.30202112,0.33536834,0.042726118,0.0033666969,0.006841975,0.012730142,0.00021524054,0.008748566
2,0.6773221,0.0711879,0.09382252,0.04037371,0.048987832,0.0019666487,0.011972761,0.04541276,0.0047577326,0.0041960604
3,0.17494257,0.18253642,0.49362344,0.052843522,0.013397111,0.002166624,0.038249522,0.024250029,0.00067690614,0.01731388
4,0.15861392,0.19276941,0.06233688,0.08825013,0.010252951,0.45965773,0.013295394,0.0125094345,0.002032422,0.00028179388
5,0.088345736,0.033658814,0.18511076,0.6636256,0.0095893005,0.0016111812,0.0067840484,0.0082180705,0.0011266056,0.0019299039
6,0.16222788,0.013083269,0.01684371,0.79819435,0.0016489289,0.0013678174,0.00020858595,0.00549831,9.370346e-05,0.00083354063
7,0.5214179,0.31113696,0.0981018,0.0037894063,0.009159598,0.01468861,0.017385779,0.017398914,0.00027233397,0.0066487226
8,0.010115348,0.00030207995,0.00055319275,0.0003025154,0.9841434,0.0015395335,0.00087345554,0.0017964308,0.00013724844,0.00023682638
9,0.1405166,0.030316595,0.20986444,0.58694226,0.018213581,0.007824022,0.0008004341,0.0030603819,0.0013732658,0.0010885303
10,0.097931884,0.08069076,0.05375062,0.7210534,0.009302673,0.02255954,0.004938802,0.0038184072,0.00037810436,0.005575836
11,0.20230235,0.027078204,0.039559357,0.20201334,0.017798379,0.48798507,0.0107822595,0.00896193,0.00049608486,0.0030229115
12,0.05738854,0.14311728,0.14510937,0.10835343,0.0071286946,0.48043427,0.050394032,0.0023135333,0.0029319613,0.0028288632
13,0.022650136,0.011998117,0.034893647,0.36695495,0.01449445,0.0074864784,0.049682636,0.490216,0.0011758935,0.00044763793
14,0.32121947,0.21165073,0.002013163,0.0015400527,0.03736591,0.0037810192,0.41415325,0.004087251,0.00014062722,0.004048533
15,0.09661537,0.07038142,0.028302168,0.7295686,0.00070626475,0.06445607,0.0031523588,0.00093281706,0.0002722375,0.0056125754
16,0.42822856,0.2244709,0.017177701,0.0026489983,0.001255639,0.00217089,0.046065755,0.27746406,0.0001976667,0.00031978672
17,0.024180798,0.02819859,0.10750025,0.113746315,0.0019279654,0.08891217,0.015546787,0.004964755,0.61346376,0.0015586202
18,0.06178176,0.005982959,0.010970613,0.00054747507,0.068773784,0.00042751484,0.0025728112,0.8483019,0.00013736123,0.0005039027
19,0.33561507,0.08233201,0.008899063,0.52047104,0.03127608,0.003027467,0.011063455,0.0054769744,0.0011899503,0.00064884475
20,0.32036084,0.1643594,0.23419371,0.005680117,0.012919282,0.0048544942,0.0035884895,0.25268665,0.0003766137,0.0009803451
21,0.055996247,0.10189204,0.22803856,0.07936425,0.024609404,0.5049432,0.0024095823,0.0017542761,0.00065292313,0.0003395981
22,0.20400357,0.23386835,0.31109613,0.011620045,0.001529715,0.23153086,0.002693298,0.00094786147,0.0021142128,0.00059596734
23,0.54018116,0.07275273,0.28615025,0.06771312,0.008677807,0.014026363,0.0029061532,0.004475818,0.00020080789,0.0029157393
24,0.07132576,0.046281766,0.007985455,0.74993163,0.00375743,0.03248301,0.012798862,0.06443214,0.0014274466,0.009576453
25,0.066166095,0.11554335,0.07538229,0.061464548,0.035129644,0.20173445,0.44304252,0.0010859066,0.00028944976,0.00016172581
26,0.11175636,0.039140586,0.005723584,0.0010335029,0.83812577,0.00033096393,0.00158631,0.0019897933,0.00018625,0.00012688128
27,0.23426703,0.11398441,0.00444873,0.14218633,0.0153823225,0.0005015181,0.0032098629,0.48477995,0.0011429745,9.6904245e-05
28,0.101236105,0.097542614,0.49473625,0.0949318,0.021916378,0.14946218,0.038413383,0.0008197582,0.00013363585,0.0008077976
29,0.050820976,0.055470433,0.01113642,0.5910936,0.0052722073,0.0035420915,0.24763505,0.008193401,0.024692042,0.0021437397
30,0.38977355,0.41276577,0.10189414,0.016950687,0.007902615,0.014507062,0.016107228,0.014048604,0.0072238967,0.01882634
31,0.034197398,0.021995563,0.045250308,0.0026739137,0.47855344,0.014416368,0.00039149297,0.40063024,0.0017338366,0.00015741782
32,0.6595256,0.28862596,0.039327066,0.0016554474,0.0006878852,0.0012418985,0.002334271,0.005316818,0.00044821872,0.000836842
33,0.18696968,0.2750343,0.1111835,0.008344563,0.014957594,0.39788017,0.0009548812,0.0021363301,0.0013058186,0.001233022
34,0.33835858,0.073223844,0.17433299,0.0015762515,0.003949695,0.39906737,0.006898104,0.00051855174,0.00026521922,0.0018093229
35,0.14757667,0.24125163,0.38563117,0.0059273764,0.017679099,0.048095908,0.012613405,0.14069046,0.00011218402,0.00042213246
36,0.19222611,0.18204166,0.4514709,0.06407173,0.028592842,0.027952578,0.014690052,0.036022443,0.002189347,0.00074222824
37,0.9530923,0.034055192,0.0013470193,0.0029057171,0.00154263,0.0008924841,0.0005297553,0.0050786883,0.00045460256,0.00010167269
38,0.018766321,0.015282548,0.049344823,0.039744735,0.8654617,0.0023013842,0.0071776374,0.00070514635,0.00086925155,0.00034636853
39,0.44459063,0.40008482,0.011741129,0.05247956,0.012316199,0.003734569,0.0104602175,0.03131938,0.00060345075,0.032670032
40,0.122500055,0.026710426,0.017998971,0.0010095028,0.009989391,0.0012332095,0.0012126579,0.818296,0.0003605292,0.000689236
41,0.05166106,0.23398109,0.0019662546,0.011764697,0.001434801,0.00025163573,0.008660723,0.16715848,0.0003634492,0.5227578
42,0.4652872,0.24756247,0.13218263,0.008679287,0.09422451,0.041605677,0.0023732272,0.0025875445,0.0037299842,0.0017673951
43,0.01979169,0.021136276,0.12671085,0.012175225,0.5781609,0.0003655133,0.00076921686,0.2402654,1.593824e-05,0.0006089863
44,0.15104687,0.05505926,0.28346655,0.18722339,0.005057464,0.28718185,0.017568491,0.0101423,0.0016910187,0.0015627343
