gene,pcc,ssim,rmse,js
Principal Cells,0.466051612306151,0.28438300052555765,1.0333909112178692,0.349784973810449
Proximal Tubule,0.7867997154937884,0.7604915085246635,0.6529935443880159,0.06565632959066892
Thick Ascending Limb,0.7058020081143737,0.6989025477073477,0.7670697385318057,0.0892291122476544
Distal Convoluted Tubule,0.6899559763865891,0.649964408973609,0.7874566954612943,0.14410611297976955
Intercalated Cells Type A,0.8473549085203738,0.784600383275083,0.552530707707049,0.12488293434460736
Intercalated Cells Type B,0.7692490892078617,0.735910668827831,0.6793392536754198,0.19151221723029205
Connecting Tubule,0.6006439897983712,0.6003411245424658,0.8937068984870026,0.21418408967521374
Endothelial Cell,0.8840780522876845,0.7605345473536356,0.48150170864144487,0.0971577594298445
Mesangial Cells,0.8069883916400137,0.47748916694822174,0.6213076667159134,0.23594816398813306
Leukocyte,0.7353404969603317,0.3605523214564917,0.7275431300475158,0.27314026143543824
