lr_id	ligand	receptor
1	COL1A1	SDC1
2	COL1A2	SDC1
3	COL4A1	SDC1
4	COL4A2	SDC1
5	COL6A1	SDC1
6	COL6A2	SDC1
7	COL6A3	SDC1
8	FN1	SDC1
9	TNXB	SDC1
10	APP	CD74
11	FN1	CD44
12	COL1A1	CD44
13	COL1A2	CD44
14	COL4A1	CD44
15	COL4A2	CD44
16	COL6A1	CD44
17	COL6A2	CD44
18	COL6A3	CD44
19	LAMA4	CD44
20	LAMB1	CD44
21	LAMB2	CD44
22	SPP1	CD44
23	MDK	SDC1
24	CDH2	CDH2
25	THBS1	SDC1
26	THBS2	SDC1
27	LAMA2	CD44
28	CDH5	CDH5
29	PECAM1	PECAM1
30	C3	C3AR1
31	MDK	LRP1
32	THBS1	CD36
33	THBS2	CD36
34	THBS1	CD47
35	THBS2	CD47
36	CXCL12	CXCR4
37	CCL14	ACKR1
38	C3	ITGAX_ITGB2
39	SELL	CD34
40	PDGFC	PDGFRA
41	CD99	CD99
42	CCL14	ACKR2
43	CCL21	CCR7
44	POSTN	ITGAV_ITGB5
45	FN1	ITGAV_ITGB1
46	TNFSF13	TNFRSF17
47	SPP1	ITGAV_ITGB1
48	SPP1	ITGAV_ITGB5
49	CTSG	F2RL2
50	COL1A1	ITGA1_ITGB1
51	COL1A2	ITGA1_ITGB1
52	COL4A1	ITGA1_ITGB1
53	COL4A2	ITGA1_ITGB1
54	COL6A1	ITGA1_ITGB1
55	COL6A2	ITGA1_ITGB1
56	COL6A3	ITGA1_ITGB1
57	LAMA4	ITGA1_ITGB1
58	LAMB1	ITGA1_ITGB1
59	LAMB2	ITGA1_ITGB1
60	LAMA4	ITGA7_ITGB1
61	LAMB1	ITGA7_ITGB1
62	LAMB2	ITGA7_ITGB1
63	VEGFB	FLT1
64	LAMA2	ITGA1_ITGB1
65	LAMA2	ITGA7_ITGB1
66	SEMA4D	PLXNB2
67	JAG1	NOTCH3
68	THBS4	CD36
69	THBS4	CD47
70	COMP	CD36
71	COMP	CD47
72	THY1	ITGAX_ITGB2
73	CD8A	CEACAM5
74	THBS4	SDC1
75	TNC	SDC1
76	COMP	SDC1
77	FN1	ITGA5_ITGB1
78	COL1A1	ITGA9_ITGB1
79	COL1A2	ITGA9_ITGB1
80	COL6A1	ITGA9_ITGB1
81	COL6A2	ITGA9_ITGB1
82	COL6A3	ITGA9_ITGB1
83	CCL5	ACKR2
84	ADGRE5	CD55
85	CD6	ALCAM
86	GZMA	F2RL2
87	CCL5	CCR4
88	VEGFC	FLT4
89	COL4A1	ITGA9_ITGB1
90	COL4A2	ITGA9_ITGB1
91	LAMB2	ITGA9_ITGB1
92	JAG1	NOTCH1
93	LAMB1	ITGA9_ITGB1
94	TNC	ITGA9_ITGB1
95	TNXB	ITGA9_ITGB1
96	LAMA2	ITGA9_ITGB1
97	JAG1	NOTCH2
98	CCL5	ACKR1
99	TNFSF13	TNFRSF13B
100	SIGLEC1	SPN
101	CXCL8	ACKR1
102	LAMA5	CD44
103	THY1	ITGAM_ITGB2
104	CXCL9	ACKR1
105	CXCL10	ACKR1
106	CD80	CD28
107	C3	ITGAM_ITGB2
108	LAMC2	CD44
109	TGFB3	TGFbR1_TGFbR2
110	FN1	ITGA4_ITGB7
111	CDH1	KLRG1
112	CD46	JAG1
113	LAMA5	ITGA1_ITGB1
114	LAMA5	ITGA7_ITGB1
115	COL1A1	ITGA2_ITGB1
116	COL1A2	ITGA2_ITGB1
117	FN1	ITGA3_ITGB1
118	LAMA5	ITGA2_ITGB1
119	LAMB2	ITGA2_ITGB1
120	LAMA5	ITGA3_ITGB1
121	LAMB2	ITGA3_ITGB1
122	THBS1	ITGA3_ITGB1
123	COL1A1	ITGA3_ITGB1
124	COL1A2	ITGA3_ITGB1
125	CDH1	ITGA2_ITGB1
126	MDK	SDC4
127	COL1A1	SDC4
128	COL1A2	SDC4
129	FN1	SDC4
130	TNC	SDC4
131	THBS1	SDC4
132	COL4A1	ITGA2_ITGB1
133	COL4A2	ITGA2_ITGB1
134	COL6A1	ITGA2_ITGB1
135	COL6A2	ITGA2_ITGB1
136	COL6A3	ITGA2_ITGB1
137	LAMB1	ITGA2_ITGB1
138	LAMB1	ITGA3_ITGB1
139	COL4A1	ITGA3_ITGB1
140	COL4A2	ITGA3_ITGB1
141	COL6A1	ITGA3_ITGB1
142	COL6A2	ITGA3_ITGB1
143	COL6A3	ITGA3_ITGB1
144	COL4A1	SDC4
145	COL4A2	SDC4
146	COL6A1	SDC4
147	COL6A2	SDC4
148	COL6A3	SDC4
149	LAMC2	ITGA1_ITGB1
150	LAMC2	ITGA7_ITGB1
151	LAMC2	ITGA2_ITGB1
152	LAMC2	ITGA3_ITGB1
153	LAMA2	ITGA2_ITGB1
154	LAMA4	ITGA2_ITGB1
155	LAMA2	ITGA3_ITGB1
156	LAMA4	ITGA3_ITGB1
157	THBS2	ITGA3_ITGB1
158	THBS4	ITGA3_ITGB1
159	COMP	ITGA3_ITGB1
160	TNN	SDC1
161	TNN	SDC4
162	THBS2	SDC4
163	THBS4	SDC4
164	COMP	SDC4
165	MDK	ITGA4_ITGB1
166	FN1	ITGA4_ITGB1
167	MDK	SDC2
168	COL1A1	ITGA11_ITGB1
169	COL1A2	ITGA11_ITGB1
170	COL4A1	ITGA11_ITGB1
171	COL4A2	ITGA11_ITGB1
172	COL6A1	ITGA11_ITGB1
173	COL6A2	ITGA11_ITGB1
174	COL6A3	ITGA11_ITGB1
