ligand_receptor,lr_id
ACTIVIN AB_ACVR1B_ACVR2A,0
ACTIVIN AB_ACVR1B_ACVR2B,1
ACTIVIN AB_ACVR1C_ACVR2A,2
ACTIVIN AB_ACVR1C_ACVR2B,3
ADCYAP1_ADCYAP1R1,4
ADGRE5_CD55,5
ADIPOQ_ADIPOR1,6
ADIPOQ_ADIPOR2,7
ADM_CALCR,8
ADM_CALCRL,9
AGRN_DAG1,10
AGT_AGTR1,11
AGT_MAS1,12
ALCAM_CD6,13
AMH_AMHR2_ACVR1,14
AMH_AMHR2_BMPR1A,15
ANGPT1_TEK,16
ANGPT2_ITGA5_ITGB1,17
ANGPT2_TEK,18
ANGPTL1_ITGA1_ITGB1,19
ANGPTL1_LILRB3,20
ANGPTL2_ITGA5_ITGB1,21
ANGPTL2_LILRB3,22
ANGPTL2_TLR4,23
ANGPTL3_ITGAV_ITGB3,24
ANGPTL4_CDH11,25
ANGPTL4_CDH5,26
ANGPTL4_ITGA5_ITGB1,27
ANGPTL4_ITGAV_ITGB3,28
ANGPTL4_SDC1,29
ANGPTL4_SDC2,30
ANGPTL4_SDC3,31
ANGPTL4_SDC4,32
ANGPTL7_LILRB3,33
ANXA1_FPR1,34
ANXA1_FPR2,35
ANXA1_FPR2_LXA4,36
APELA_APLNR,37
APLN_APLNR,38
APP_CD74,39
AREG_EGFR,40
AREG_EGFR_ERBB2,41
ARTN_GFRA1_RET,42
ARTN_GFRA3_RET,43
AVP_AVPR1A,44
AVP_AVPR1B,45
AVP_AVPR2,46
BAG6_NCR3,47
BDNF_NTRK2,48
BMP10_ACVRL1_ACVR2A,49
BMP10_ACVRL1_BMPR2,50
BMP15_BMPR1B_BMPR2,51
BMP2_BMPR1A_ACVR2A,52
BMP2_BMPR1A_ACVR2B,53
BMP2_BMPR1A_BMPR2,54
BMP2_BMPR1B_ACVR2A,55
BMP2_BMPR1B_ACVR2B,56
BMP2_BMPR1B_BMPR2,57
BMP4_BMPR1A_ACVR2A,58
BMP4_BMPR1A_ACVR2B,59
BMP4_BMPR1A_BMPR2,60
BMP4_BMPR1B_ACVR2A,61
BMP4_BMPR1B_ACVR2B,62
BMP4_BMPR1B_BMPR2,63
BMP5_ACVR1_ACVR2A,64
BMP5_ACVR1_ACVR2B,65
BMP5_ACVR1_BMPR2,66
BMP5_BMPR1A_ACVR2A,67
BMP5_BMPR1A_ACVR2B,68
BMP5_BMPR1A_BMPR2,69
BMP5_BMPR1B_ACVR2A,70
BMP5_BMPR1B_ACVR2B,71
BMP5_BMPR1B_BMPR2,72
BMP6_ACVR1_ACVR2A,73
BMP6_ACVR1_ACVR2B,74
BMP6_ACVR1_BMPR2,75
BMP6_BMPR1A_ACVR2A,76
BMP6_BMPR1A_ACVR2B,77
BMP6_BMPR1A_BMPR2,78
BMP6_BMPR1B_ACVR2A,79
BMP6_BMPR1B_ACVR2B,80
BMP6_BMPR1B_BMPR2,81
BMP7_ACVR1_ACVR2A,82
BMP7_ACVR1_ACVR2B,83
BMP7_ACVR1_BMPR2,84
BMP7_BMPR1A_ACVR2A,85
BMP7_BMPR1A_ACVR2B,86
BMP7_BMPR1A_BMPR2,87
BMP7_BMPR1B_ACVR2A,88
BMP7_BMPR1B_ACVR2B,89
BMP7_BMPR1B_BMPR2,90
BMP8A_ACVR1_ACVR2A,91
BMP8A_ACVR1_ACVR2B,92
BMP8A_ACVR1_BMPR2,93
BMP8A_BMPR1A_ACVR2A,94
BMP8A_BMPR1A_ACVR2B,95
BMP8A_BMPR1A_BMPR2,96
BMP8A_BMPR1B_ACVR2A,97
BMP8A_BMPR1B_ACVR2B,98
BMP8A_BMPR1B_BMPR2,99
BMP8B_ACVR1_ACVR2A,100
BMP8B_ACVR1_ACVR2B,101
BMP8B_ACVR1_BMPR2,102
BMP8B_BMPR1A_ACVR2A,103
BMP8B_BMPR1A_ACVR2B,104
BMP8B_BMPR1A_BMPR2,105
BMP8B_BMPR1B_ACVR2A,106
BMP8B_BMPR1B_ACVR2B,107
BMP8B_BMPR1B_BMPR2,108
BTC_EGFR,109
BTC_EGFR_ERBB2,110
BTC_ERBB2_ERBB4,111
BTC_ERBB4,112
BTLA_TNFRSF14,113
C3_C3AR1,114
C3_CR2,115
C3_ITGAM_ITGB2,116
C3_ITGAX_ITGB2,117
C4A_C3AR1,118
C4A_CR2,119
C5_C5AR1,120
CADM1_CADM1,121
CADM3_CADM3,122
CALCA_CALCR,123
CALCA_CALCRL,124
CALCB_CALCR,125
CALCB_CALCRL,126
CCK_CCKAR,127
CCK_CCKBR,128
CCL11_ACKR1,129
CCL11_ACKR2,130
CCL11_CCR3,131
CCL13_ACKR1,132
CCL13_ACKR2,133
CCL13_ACKR4,134
CCL13_CCR1,135
CCL14_ACKR1,136
CCL14_ACKR2,137
CCL14_CCR1,138
CCL15_CCR1,139
CCL16_ACKR1,140
CCL16_CCR1,141
CCL17_ACKR1,142
CCL17_ACKR2,143
CCL17_CCR4,144
CCL18_ACKR1,145
CCL19_ACKR4,146
CCL19_CCR7,147
CCL1_ACKR1,148
CCL1_ACKR4,149
CCL1_CCR8,150
CCL20_CCR6,151
CCL21_ACKR4,152
CCL21_CCR7,153
CCL22_ACKR2,154
CCL22_CCR4,155
CCL23_CCR1,156
CCL24_ACKR2,157
CCL24_CCR3,158
CCL25_ACKR4,159
CCL25_CCR9,160
CCL26_ACKR2,161
CCL26_CCR3,162
CCL27_CCR10,163
CCL27_CCR2,164
CCL27_CCR3,165
CCL28_CCR10,166
CCL28_CCR3,167
CCL2_ACKR1,168
CCL2_ACKR2,169
CCL2_CCR2,170
CCL3L1_ACKR2,171
CCL3L1_CCR1,172
CCL3L3_CCR1,173
CCL3_ACKR2,174
CCL3_CCR1,175
CCL3_CCR5,176
CCL4_ACKR2,177
CCL4_CCR5,178
CCL5_ACKR1,179
CCL5_ACKR2,180
CCL5_CCR1,181
CCL5_CCR3,182
CCL5_CCR4,183
CCL5_CCR5,184
CCL7_ACKR1,185
CCL7_ACKR2,186
CCL7_CCR1,187
CCL7_CCR2,188
CCL7_CCR3,189
CCL8_ACKR1,190
CCL8_ACKR2,191
CCL8_ACKR4,192
CCL8_CCR1,193
CCL8_CCR2,194
CD1D_CEACAM5,195
CD209_CEACAM1,196
CD226_NECTIN2,197
CD226_PVR,198
CD22_PTPRC,199
CD274_PDCD1,200
CD34_SELP,201
CD40LG_CD40,202
CD40LG_ITGA2B_ITGB3,203
CD40LG_ITGA5_ITGB1,204
CD40LG_ITGAM_ITGB2,205
CD46_JAG1,206
CD48_CD244,207
CD69_KLRB1,208
CD6_ALCAM,209
CD70_CD27,210
CD80_CD274,211
CD80_CD28,212
CD80_CTLA4,213
CD86_CD28,214
CD86_CTLA4,215
CD8A_CEACAM5,216
CD96_NECTIN1,217
CD96_PVR,218
CD99_CD99,219
CD99_CD99L2,220
CD99_PILRA,221
CDH15_CDH15,222
CDH1_CDH1,223
CDH1_ITGA2_ITGB1,224
CDH1_ITGAE_ITGB7,225
CDH1_KLRG1,226
CDH2_CDH2,227
CDH4_CDH4,228
CDH5_CDH5,229
CEACAM1_CEACAM5,230
CGA_FSHR,231
CGA_LHCGR,232
CGA_TSHR,233
CHAD_ITGA2_ITGB1,234
CLCF1_CNTFR_LIFR,235
CLDN11_CLDN11,236
CLEC1B_KLRB1,237
CLEC2A_KLRB1,238
CLEC2B_KLRB1,239
CLEC2D_KLRB1,240
CLEC2L_KLRB1,241
CNTF_CNTFR_LIFR,242
CNTN1_NRCAM,243
CNTN2_CNTN2,244
CNTN2_CNTN2_CNTNAP2,245
CNTN2_L1CAM,246
COL1A1_CD44,247
COL1A1_GP6,248
COL1A1_ITGA10_ITGB1,249
COL1A1_ITGA11_ITGB1,250
COL1A1_ITGA1_ITGB1,251
COL1A1_ITGA2_ITGB1,252
COL1A1_ITGA3_ITGB1,253
COL1A1_ITGA9_ITGB1,254
COL1A1_ITGAV_ITGB8,255
COL1A1_SDC1,256
COL1A1_SDC4,257
COL1A2_CD44,258
COL1A2_GP6,259
COL1A2_ITGA10_ITGB1,260
COL1A2_ITGA11_ITGB1,261
COL1A2_ITGA1_ITGB1,262
COL1A2_ITGA2_ITGB1,263
COL1A2_ITGA3_ITGB1,264
COL1A2_ITGA9_ITGB1,265
COL1A2_ITGAV_ITGB8,266
COL1A2_SDC1,267
COL1A2_SDC4,268
COL2A1_CD44,269
COL2A1_GP6,270
COL2A1_ITGA10_ITGB1,271
COL2A1_ITGA11_ITGB1,272
COL2A1_ITGA1_ITGB1,273
COL2A1_ITGA2_ITGB1,274
COL2A1_ITGA3_ITGB1,275
COL2A1_ITGA9_ITGB1,276
COL2A1_ITGAV_ITGB8,277
COL2A1_SDC1,278
COL2A1_SDC4,279
COL4A1_CD44,280
COL4A1_GP6,281
COL4A1_ITGA10_ITGB1,282
COL4A1_ITGA11_ITGB1,283
COL4A1_ITGA1_ITGB1,284
COL4A1_ITGA2_ITGB1,285
COL4A1_ITGA3_ITGB1,286
COL4A1_ITGA9_ITGB1,287
COL4A1_ITGAV_ITGB8,288
COL4A1_SDC1,289
COL4A1_SDC4,290
COL4A2_CD44,291
COL4A2_GP6,292
COL4A2_ITGA10_ITGB1,293
COL4A2_ITGA11_ITGB1,294
COL4A2_ITGA1_ITGB1,295
COL4A2_ITGA2_ITGB1,296
COL4A2_ITGA3_ITGB1,297
COL4A2_ITGA9_ITGB1,298
COL4A2_ITGAV_ITGB8,299
COL4A2_SDC1,300
COL4A2_SDC4,301
COL4A3_CD44,302
COL4A3_GP6,303
COL4A3_ITGA10_ITGB1,304
COL4A3_ITGA11_ITGB1,305
COL4A3_ITGA1_ITGB1,306
COL4A3_ITGA2_ITGB1,307
COL4A3_ITGA3_ITGB1,308
COL4A3_ITGA9_ITGB1,309
COL4A3_ITGAV_ITGB8,310
COL4A3_SDC1,311
COL4A3_SDC4,312
COL4A4_CD44,313
COL4A4_GP6,314
COL4A4_ITGA10_ITGB1,315
COL4A4_ITGA11_ITGB1,316
COL4A4_ITGA1_ITGB1,317
COL4A4_ITGA2_ITGB1,318
COL4A4_ITGA3_ITGB1,319
COL4A4_ITGA9_ITGB1,320
COL4A4_ITGAV_ITGB8,321
COL4A4_SDC1,322
COL4A4_SDC4,323
COL4A5_CD44,324
COL4A5_GP6,325
COL4A5_ITGA10_ITGB1,326
COL4A5_ITGA11_ITGB1,327
COL4A5_ITGA1_ITGB1,328
COL4A5_ITGA2_ITGB1,329
COL4A5_ITGA3_ITGB1,330
COL4A5_ITGA9_ITGB1,331
COL4A5_ITGAV_ITGB8,332
COL4A5_SDC1,333
COL4A5_SDC4,334
COL4A6_CD44,335
COL4A6_GP6,336
COL4A6_ITGA10_ITGB1,337
COL4A6_ITGA11_ITGB1,338
COL4A6_ITGA1_ITGB1,339
COL4A6_ITGA2_ITGB1,340
COL4A6_ITGA3_ITGB1,341
COL4A6_ITGA9_ITGB1,342
COL4A6_ITGAV_ITGB8,343
COL4A6_SDC1,344
COL4A6_SDC4,345
COL6A1_CD44,346
COL6A1_GP6,347
COL6A1_ITGA10_ITGB1,348
COL6A1_ITGA11_ITGB1,349
COL6A1_ITGA1_ITGB1,350
COL6A1_ITGA2_ITGB1,351
COL6A1_ITGA3_ITGB1,352
COL6A1_ITGA9_ITGB1,353
COL6A1_ITGAV_ITGB8,354
COL6A1_SDC1,355
COL6A1_SDC4,356
COL6A2_CD44,357
COL6A2_GP6,358
COL6A2_ITGA10_ITGB1,359
COL6A2_ITGA11_ITGB1,360
COL6A2_ITGA1_ITGB1,361
COL6A2_ITGA2_ITGB1,362
COL6A2_ITGA3_ITGB1,363
COL6A2_ITGA9_ITGB1,364
COL6A2_ITGAV_ITGB8,365
COL6A2_SDC1,366
COL6A2_SDC4,367
COL6A3_CD44,368
COL6A3_GP6,369
COL6A3_ITGA10_ITGB1,370
COL6A3_ITGA11_ITGB1,371
COL6A3_ITGA1_ITGB1,372
COL6A3_ITGA2_ITGB1,373
COL6A3_ITGA3_ITGB1,374
COL6A3_ITGA9_ITGB1,375
COL6A3_ITGAV_ITGB8,376
COL6A3_SDC1,377
COL6A3_SDC4,378
COL6A5_CD44,379
COL6A5_GP6,380
COL6A5_ITGA10_ITGB1,381
COL6A5_ITGA11_ITGB1,382
COL6A5_ITGA1_ITGB1,383
COL6A5_ITGA2_ITGB1,384
COL6A5_ITGA3_ITGB1,385
COL6A5_ITGA9_ITGB1,386
COL6A5_ITGAV_ITGB8,387
COL6A5_SDC1,388
COL6A5_SDC4,389
COL6A6_CD44,390
COL6A6_GP6,391
COL6A6_ITGA10_ITGB1,392
COL6A6_ITGA11_ITGB1,393
COL6A6_ITGA1_ITGB1,394
COL6A6_ITGA2_ITGB1,395
COL6A6_ITGA3_ITGB1,396
COL6A6_ITGA9_ITGB1,397
COL6A6_ITGAV_ITGB8,398
COL6A6_SDC1,399
COL6A6_SDC4,400
COL9A1_CD44,401
COL9A1_GP6,402
COL9A1_ITGA10_ITGB1,403
COL9A1_ITGA11_ITGB1,404
COL9A1_ITGA1_ITGB1,405
COL9A1_ITGA2_ITGB1,406
COL9A1_ITGA3_ITGB1,407
COL9A1_ITGA9_ITGB1,408
