ligand_receptor,lr_id
TGFB1_TGFBR1_TGFBR2,1464
TGFB2_TGFBR1_TGFBR2,1468
TGFB3_TGFBR1_TGFBR2,1472
TGFB1_ACVR1B_TGFBR2,1461
TGFB1_ACVR1C_TGFBR2,1462
TGFB2_ACVR1B_TGFBR2,1465
TGFB2_ACVR1C_TGFBR2,1466
TGFB3_ACVR1B_TGFBR2,1469
TGFB3_ACVR1C_TGFBR2,1470
TGFB1_ACVR1_TGFBR,1463
TGFB2_ACVR1_TGFBR,1467
TGFB3_ACVR1_TGFBR,1471
BMP2_BMPR1A_ACVR2A,52
BMP2_BMPR1A_ACVR2B,53
BMP2_BMPR1A_BMPR2,54
BMP2_BMPR1B_ACVR2A,55
BMP2_BMPR1B_ACVR2B,56
BMP2_BMPR1B_BMPR2,57
BMP4_BMPR1A_ACVR2A,58
BMP4_BMPR1A_ACVR2B,59
BMP4_BMPR1A_BMPR2,60
BMP4_BMPR1B_ACVR2A,61
BMP4_BMPR1B_ACVR2B,62
BMP4_BMPR1B_BMPR2,63
GDF5_BMPR1A_ACVR2A,706
GDF5_BMPR1A_ACVR2B,707
GDF5_BMPR1A_BMPR2,708
GDF5_BMPR1B_ACVR2A,709
GDF5_BMPR1B_ACVR2B,710
GDF5_BMPR1B_BMPR2,711
GDF6_BMPR1A_ACVR2A,712
GDF6_BMPR1A_ACVR2B,713
GDF6_BMPR1A_BMPR2,714
GDF6_BMPR1B_ACVR2A,715
GDF6_BMPR1B_ACVR2B,716
GDF6_BMPR1B_BMPR2,717
GDF7_BMPR1A_ACVR2A,718
GDF7_BMPR1A_ACVR2B,719
GDF7_BMPR1A_BMPR2,720
GDF7_BMPR1B_ACVR2A,721
GDF7_BMPR1B_ACVR2B,722
GDF7_BMPR1B_BMPR2,723
BMP15_BMPR1B_BMPR2,51
BMP5_ACVR1_ACVR2A,64
BMP5_ACVR1_ACVR2B,65
BMP5_ACVR1_BMPR2,66
BMP5_BMPR1A_ACVR2A,67
BMP5_BMPR1A_ACVR2B,68
BMP5_BMPR1A_BMPR2,69
BMP5_BMPR1B_ACVR2A,70
BMP5_BMPR1B_ACVR2B,71
BMP5_BMPR1B_BMPR2,72
BMP6_ACVR1_ACVR2A,73
BMP6_ACVR1_ACVR2B,74
BMP6_ACVR1_BMPR2,75
BMP6_BMPR1A_ACVR2A,76
BMP6_BMPR1A_ACVR2B,77
BMP6_BMPR1A_BMPR2,78
BMP6_BMPR1B_ACVR2A,79
BMP6_BMPR1B_ACVR2B,80
BMP6_BMPR1B_BMPR2,81
BMP7_ACVR1_ACVR2A,82
BMP7_ACVR1_ACVR2B,83
BMP7_ACVR1_BMPR2,84
BMP7_BMPR1A_ACVR2A,85
BMP7_BMPR1A_ACVR2B,86
BMP7_BMPR1A_BMPR2,87
BMP7_BMPR1B_ACVR2A,88
BMP7_BMPR1B_ACVR2B,89
BMP7_BMPR1B_BMPR2,90
BMP8A_ACVR1_ACVR2A,91
BMP8A_ACVR1_ACVR2B,92
BMP8A_ACVR1_BMPR2,93
BMP8A_BMPR1A_ACVR2A,94
BMP8A_BMPR1A_ACVR2B,95
BMP8A_BMPR1A_BMPR2,96
BMP8A_BMPR1B_ACVR2A,97
BMP8A_BMPR1B_ACVR2B,98
BMP8A_BMPR1B_BMPR2,99
BMP8B_ACVR1_ACVR2A,100
BMP8B_ACVR1_ACVR2B,101
BMP8B_ACVR1_BMPR2,102
BMP8B_BMPR1A_ACVR2A,103
BMP8B_BMPR1A_ACVR2B,104
BMP8B_BMPR1A_BMPR2,105
BMP8B_BMPR1B_ACVR2A,106
BMP8B_BMPR1B_ACVR2B,107
BMP8B_BMPR1B_BMPR2,108
BMP10_ACVRL1_BMPR2,50
BMP10_ACVRL1_ACVR2A,49
GDF2_ACVRL1_BMPR2,701
GDF2_ACVRL1_ACVR2A,700
GDF9_ACVR1B_BMPR2,724
GDF10_ACVR1B_ACVR2A,691
GDF11_TGFBR1_ACVR2A,693
GDF11_TGFBR1_ACVR2B,694
GDF11_ACVR1B_ACVR2B,692
GDF15_TGFBR2,695
MSTN_TGFBR1_ACVR2B,1133
MSTN_ACVR1B_ACVR2B,1131
MSTN_ACVR1B_ACVR2A,1130
MSTN_TGFBR1_ACVR2A,1132
AMH_AMHR2_ACVR1,14
AMH_AMHR2_BMPR1A,15
GDNF_GFRA1_RET,725
NRTN_GFRA2_RET,1195
ARTN_GFRA3_RET,43
PSPN_GFRA4_RET,1285
ARTN_GFRA1_RET,42
NODAL_ACVR1B_ACVR2A_CFC1,1160
NODAL_ACVR1C_ACVR2A_CFC1,1162
NODAL_ACVR1B_ACVR2B_CFC1,1161
NODAL_ACVR1C_ACVR2B_CFC1,1163
GDF1_ACVR1B_ACVR2A_CFC1,696
GDF1_ACVR1B_ACVR2B_CFC1,697
GDF1_ACVR1C_ACVR2A_CFC1,698
GDF1_ACVR1C_ACVR2B_CFC1,699
GDF3_ACVR1B_ACVR2A_CFC1,702
GDF3_ACVR1B_ACVR2B_CFC1,703
GDF3_ACVR1C_ACVR2A_CFC1,704
GDF3_ACVR1C_ACVR2B_CFC1,705
INHBA_ACVR1B_ACVR2A,898
INHBA_ACVR1B_ACVR2B,899
INHBB_ACVR1B_ACVR2A,900
INHBB_ACVR1B_ACVR2B,901
INHBB_ACVR1C_ACVR2A,902
INHBB_ACVR1C_ACVR2B,903
INHBC_ACVR1B_ACVR2A,904
INHBC_ACVR1B_ACVR2B,905
INHBC_ACVR1C_ACVR2A,906
INHBC_ACVR1C_ACVR2B,907
INHBE_ACVR1B_ACVR2A,908
INHBE_ACVR1B_ACVR2B,909
INHBE_ACVR1C_ACVR2A,910
INHBE_ACVR1C_ACVR2B,911
ACTIVIN AB_ACVR1B_ACVR2A,0
ACTIVIN AB_ACVR1B_ACVR2B,1
ACTIVIN AB_ACVR1C_ACVR2A,2
ACTIVIN AB_ACVR1C_ACVR2B,3
INHIBIN A_ACVR2A,912
INHIBIN B_ACVR2B,913
WNT1_FZD1_LRP5,1657
WNT1_FZD10_LRP5,1655
WNT1_FZD2_LRP5,1659
