Gene stable ID,Gene name,Mouse gene stable ID,Mouse gene name
ENSG00000210049,MT-TF,,
ENSG00000211459,MT-RNR1,,
ENSG00000210077,MT-TV,,
ENSG00000210082,MT-RNR2,,
ENSG00000209082,MT-TL1,,
ENSG00000198888,MT-ND1,ENSMUSG00000064341,mt-Nd1
ENSG00000210100,MT-TI,,
ENSG00000210107,MT-TQ,,
ENSG00000210112,MT-TM,,
ENSG00000198763,MT-ND2,ENSMUSG00000064345,mt-Nd2
ENSG00000210117,MT-TW,,
ENSG00000210127,MT-TA,,
ENSG00000210135,MT-TN,,
ENSG00000210140,MT-TC,,
ENSG00000210144,MT-TY,,
ENSG00000198804,MT-CO1,ENSMUSG00000064351,mt-Co1
ENSG00000210151,MT-TS1,,
ENSG00000210154,MT-TD,,
ENSG00000198712,MT-CO2,ENSMUSG00000064354,mt-Co2
ENSG00000210156,MT-TK,,
ENSG00000228253,MT-ATP8,ENSMUSG00000064356,mt-Atp8
ENSG00000198899,MT-ATP6,ENSMUSG00000064357,mt-Atp6
ENSG00000198938,MT-CO3,ENSMUSG00000064358,mt-Co3
ENSG00000210164,MT-TG,,
ENSG00000198840,MT-ND3,ENSMUSG00000064360,mt-Nd3
ENSG00000210174,MT-TR,,
ENSG00000212907,MT-ND4L,ENSMUSG00000065947,mt-Nd4l
ENSG00000198886,MT-ND4,ENSMUSG00000064363,mt-Nd4
ENSG00000210176,MT-TH,,
ENSG00000210184,MT-TS2,,
ENSG00000210191,MT-TL2,,
ENSG00000198786,MT-ND5,ENSMUSG00000064367,mt-Nd5
ENSG00000198695,MT-ND6,ENSMUSG00000064368,mt-Nd6
ENSG00000210194,MT-TE,,
ENSG00000198727,MT-CYB,ENSMUSG00000064370,mt-Cytb
ENSG00000210195,MT-TT,,
ENSG00000210196,MT-TP,,
ENSG00000299200,,,
ENSG00000308964,,,
ENSG00000278457,5S_rRNA,,
ENSG00000271254,,,
ENSG00000276197,,,
ENSG00000278573,,,
ENSG00000278704,,,
ENSG00000309338,,,
ENSG00000309357,,,
ENSG00000297432,,,
ENSG00000297449,,,
ENSG00000299314,,,
ENSG00000295063,,,
ENSG00000303867,,,
ENSG00000309229,,,
ENSG00000278294,5_8S_rRNA,,
ENSG00000274917,RNA5-8SN5,,
